date;Lead;Mid;Lag;mktrf;smb;hml;rf
1972-01-01;33.98127969341838;36.40006137763962;12.6817603870949;29.880000000000003;73.44;23.88;3.4799999999999995
1972-02-01;70.71121750979582;27.26927330499948;49.61108802181164;34.44;16.44;-33.12;3.0
1972-03-01;28.569885595573773;-1.729173353057468;33.94101427368898;7.5600000000000005;-3.24;-20.759999999999998;3.24
1972-04-01;17.804563980270785;8.642395195637874;-9.87034667481715;3.4799999999999995;0.12;2.7600000000000002;3.4799999999999995
1972-05-01;28.751399840033635;23.88333190012665;1.21973626367163;15.0;-33.480000000000004;-32.28;3.5999999999999996
1972-06-01;-3.4137745390974086;-30.538620188848604;-33.79323566722093;-29.160000000000004;3.96;-30.119999999999997;3.4799999999999995
1972-07-01;-25.99814220395568;4.845665164971239;-7.644454861322789;-9.600000000000001;-34.68;9.36;3.7199999999999998
1972-08-01;26.378280448841938;31.666444074777356;84.39603171646887;39.12;-49.08;56.28;3.4799999999999995
1972-09-01;-7.952486941759145;-13.58482955797174;1.4647243326574517;-13.68;-32.04;5.64;4.08
1972-10-01;9.379698768581015;-2.0846542131581227;55.74843589547044;6.24;-32.88;16.44;4.800000000000001
1972-11-01;72.9197969511522;51.394855482013824;73.10425335540718;55.199999999999996;-13.32;57.12;4.4399999999999995
1972-12-01;17.736570905900976;15.855661166663921;3.695208347975818;7.4399999999999995;-22.32;-27.240000000000002;4.4399999999999995
1973-01-01;8.782276602091802;-43.597574115929056;-39.45302090705624;-39.480000000000004;-41.76;32.160000000000004;5.28
1973-02-01;-54.22521682643507;-56.967662934360604;-15.249252634120428;-58.199999999999996;-47.88;20.4;4.92
1973-03-01;20.627262211007103;-17.636705862363844;-14.25095483022705;-15.600000000000001;-33.839999999999996;33.36;5.5200000000000005
1973-04-01;-38.45719490626265;-56.22475690159272;-76.79799839875541;-68.16;-47.88;68.28;6.24
1973-05-01;-11.917921400075246;-24.841963377527964;-32.40114153954536;-35.28;-73.44;2.52;6.12
1973-06-01;10.263335893877846;-11.48409770177442;-48.27998667151873;-18.72;-35.400000000000006;17.28;6.12
1973-07-01;93.97227871048025;54.85378927567639;72.71641490489785;60.599999999999994;94.92;-63.72;7.68
1973-08-01;-58.618656862666;-38.24020901049683;-8.87109680869874;-45.839999999999996;-24.36;13.68;8.399999999999999
1973-09-01;67.72505588831766;51.553506476357256;98.44856855989522;57.0;35.28;26.160000000000004;8.16
1973-10-01;19.299676993196442;-12.393132100413464;32.07491996510187;-9.959999999999999;-2.7600000000000002;20.88;7.800000000000001
1973-11-01;-148.3336959124348;-144.47380960534636;-143.27827403882577;-153.0;-92.4;48.480000000000004;6.720000000000001
1973-12-01;-11.402114274984765;29.26010389304782;-14.61727883516948;7.32;-63.480000000000004;49.08;7.68
1974-01-01;0.32106668246594444;-4.446470191573817;6.330788098418916;-2.04;117.12;71.88;7.5600000000000005
1974-02-01;9.098121153825677;1.2795701320499;8.890688516990767;-5.64;0.6000000000000001;30.48;6.959999999999999
1974-03-01;9.209152508613705;-34.51919605533742;-33.374244337990945;-33.72;30.119999999999997;-1.32;6.720000000000001
1974-04-01;-8.70299660291353;-65.19632736623268;-40.68882299851558;-63.480000000000004;-8.52;12.72;9.0
1974-05-01;6.574117864771319;-50.89357491184357;-61.96392698678798;-56.16;-36.12;-24.48;9.0
1974-06-01;-15.879210676593125;-27.411374656961314;-11.628624129848292;-33.96;-2.4000000000000004;9.48;7.199999999999999
1974-07-01;-146.20764509735346;-90.32939605608776;3.9112335978486494;-96.60000000000001;11.040000000000001;61.67999999999999;8.399999999999999
1974-08-01;-139.56150567787793;-90.26306027988235;-98.68789408079154;-112.19999999999999;-8.16;30.0;7.199999999999999
1974-09-01;-168.70457721837641;-131.17688389401434;-102.05329131103954;-141.24;3.24;65.88;9.72
1974-10-01;204.7657685220246;188.43584620010924;256.96822674960265;193.20000000000002;-42.12;-119.88;6.12
1974-11-01;-49.188171754677455;-48.61542957454775;-47.41463745825284;-54.12;-14.04;-1.92;6.48
1974-12-01;-61.190960141212415;-32.17480923080303;2.608962320648498;-41.400000000000006;-58.08;0.0;8.399999999999999
1975-01-01;232.88457195315445;174.68651813407956;76.32512548343763;163.92000000000002;132.12;101.28;6.959999999999999
1975-02-01;55.43184168929259;93.16421420699447;27.56989668687397;66.72;1.92;-54.72;5.16
1975-03-01;67.47741063143087;37.22906946012548;4.250651447382514;31.92;45.0;29.880000000000003;4.92
1975-04-01;20.13291392812665;59.907722837615424;84.07537624339882;50.760000000000005;-6.48;-13.32;5.28
1975-05-01;75.88775041763608;57.271571785697;103.54829764276064;62.28;45.96;-48.239999999999995;5.28
1975-06-01;98.46303011852822;49.49991602765617;73.5792903161056;57.96;9.120000000000001;15.84;4.92
1975-07-01;-62.904435670260966;-79.81958017532996;-74.30224058503048;-79.08;32.28;20.4;5.76
1975-08-01;-50.31284803907134;-23.74288265384601;-12.867218187739763;-34.2;-38.400000000000006;-10.8;5.76
1975-09-01;-62.36573909063553;-43.12712382007119;-34.17118423053545;-51.12;-1.56;4.08;6.36
1975-10-01;75.96253319130155;88.72028099924805;15.822806298373356;63.72;-48.239999999999995;3.5999999999999996;6.720000000000001
1975-11-01;52.6588327215333;45.57246594592164;-1.7581565946722906;31.68;-14.28;23.88;4.92
1975-12-01;1.7967051834942258;-20.354114490899462;9.882278204384349;-19.200000000000003;-9.120000000000001;21.12;5.76
1976-01-01;154.09862266873168;166.9545411909657;115.02300050071015;145.92000000000002;57.599999999999994;102.96000000000001;5.64
